areakey,zonei,lat,lon,osgb36_east,osgb36_north,area
W02000253,7032,51.736496,-3.4513967,299787.47,205169.89,10481547
W02000254,7033,51.709194,-3.4826107,297570.7,202177.08,12976758
W02000255,7034,51.71663,-3.4145575,302288.1,202910.89,11156384
W02000256,7035,51.688824,-3.4396005,300497.34,199852.44,16855912
W02000257,7036,51.68516,-3.377096,304809.66,199361.81,12008955
W02000258,7037,51.684834,-3.5532463,292633.3,199570.05,21516926
W02000259,7038,51.669132,-3.3688498,305346.25,197568.94,2133059.8
W02000260,7039,51.68289,-3.4895203,297033.7,199262.27,13394675
W02000261,7040,51.659176,-3.5213866,294776.03,196670.55,13322836
W02000262,7041,51.647907,-3.4966528,296460.9,195382,5792307
W02000263,7042,51.6468,-3.3335564,307741.25,195040.25,9157968
W02000264,7043,51.64835,-3.4310133,301002.62,195340.23,6921352.5
W02000265,7044,51.6411,-3.467988,298428.66,194585.2,10333633
W02000266,7045,51.64527,-3.3778772,304671.97,194927.27,21644956
W02000267,7046,51.6224,-3.483053,297344.12,192526.28,8220806
W02000268,7047,51.620926,-3.4004824,303056.22,192249.64,9737053
W02000269,7048,51.613937,-3.4463346,299867.03,191534.53,7115862.5
W02000270,7049,51.616447,-3.3165529,308856.75,191643.69,6412072
W02000271,7050,51.606438,-3.4142346,302073.12,190656.83,3533299
W02000272,7051,51.60364,-3.3560736,306094.47,190269.6,12348762
W02000273,7052,51.59309,-3.3122063,309111.03,189041.2,7373119.5
W02000274,7053,51.581596,-3.448967,299613.47,187941.83,15781057
W02000275,7054,51.581715,-3.4001667,302994.53,187889.1,14810815
W02000276,7055,51.56712,-3.301501,309801.06,186139.67,6680908
W02000277,7056,51.564682,-3.2682974,312097.4,185828.6,11357498
W02000278,7057,51.558292,-3.3248763,308163.34,185187.3,10933661
W02000279,7058,51.56447,-3.3585904,305839.25,185916.88,5993206.5
W02000280,7059,51.54076,-3.4432893,299917.22,183393.12,23430800
W02000281,7060,51.547726,-3.3754911,304632.94,184077.28,11808419
W02000282,7061,51.519287,-3.3915915,303456.53,180935.83,19062472
W02000284,7062,51.771988,-3.352061,306719,208985,11407658
W02000285,7063,51.757637,-3.4098434,302701.84,207464.5,10240115
W02000286,7064,51.74703,-3.3894658,304085.62,206257.8,3238605.5
W02000287,7065,51.74198,-3.3464003,307047.94,205640.84,8716417
W02000288,7066,51.709045,-3.3355856,307727.5,201964.47,41224720
W02000289,7067,51.667183,-3.30927,309462.03,197276.31,9862244
W02000290,7068,51.76654,-3.2925181,310816.06,208304.55,21581072
W02000291,7069,51.720913,-3.2652013,312612.84,203197.55,29311560
W02000292,7070,51.68941,-3.2191014,315738.34,199640.28,4417787
W02000293,7071,51.689514,-3.23708,314495.94,199672.7,2726992.2
W02000294,7072,51.7094,-3.1958165,317384.12,201836.58,18565214
W02000295,7073,51.687584,-3.142842,321005.9,199352.16,15455331
W02000296,7074,51.666786,-3.2151978,315966.28,197119.84,3006967.5
W02000297,7075,51.66823,-3.2570806,313072.84,197329.3,12057930
W02000298,7076,51.667847,-3.185694,318008.38,197204.31,3647971.5
W02000299,7077,51.667244,-3.1261592,322124.1,197072.23,10365000
W02000300,7078,51.651466,-3.185523,317990.62,195382.58,5751008
W02000301,7079,51.638798,-3.2173567,315765.12,194010.12,9592561
W02000302,7080,51.63878,-3.2711926,312040.06,194071.38,17247006
W02000303,7081,51.647083,-3.1172214,322707.84,194820.58,18571488
W02000304,7082,51.62363,-3.1590605,319772.03,192257.7,17848642
W02000305,7083,51.61089,-3.0835354,324978.6,190760.62,2747053.2
W02000306,7084,51.610626,-3.0977693,323992.66,190746.42,5138816
W02000307,7085,51.6032,-3.2705894,312013,190114.27,13314800
W02000308,7086,51.60862,-3.2370367,314346.6,190676.95,7613752
W02000309,7087,51.60186,-3.1956327,317201.06,189877.7,11092308
W02000310,7088,51.577656,-3.145992,320596.44,187131.3,32696246
W02000311,7089,51.585026,-3.2119412,316040.7,188024.19,3175386.2
W02000312,7090,51.581036,-3.235651,314390.72,187607.98,2424224.5
W02000313,7091,51.566154,-3.227128,314953.4,185943.5,9101539
W02000314,7092,51.804264,-3.2193587,315934.06,212412.58,8260985
W02000315,7093,51.80557,-3.1691775,319395.9,212501.11,5823149.5
W02000316,7094,51.79917,-3.270073,312427.94,211906.11,17496774
W02000317,7095,51.787697,-3.2141984,316259.12,210564.39,5166095
W02000318,7096,51.77558,-3.1617522,319854.66,209158.12,15289274
W02000319,7097,51.758087,-3.2362385,314683.3,207297.3,14178881
W02000320,7098,51.74999,-3.1866772,318088.9,206340.05,16399121
W02000321,7099,51.74767,-3.133711,321740.8,206024,14479457
W02000322,7100,51.711323,-3.1279097,322078.78,201975.75,11668748
W02000323,7101,51.777218,-3.0922592,324651.3,209266.08,17829810
W02000324,7102,51.739117,-3.0729697,325919.62,205009.12,24762490
W02000325,7103,51.715797,-3.0397787,328174.2,202382.88,5761067
W02000326,7104,51.695927,-3.0704675,326021.94,200203.83,19550292
W02000327,7105,51.696598,-3.0004158,330864,200210.02,11978273
W02000328,7106,51.68265,-3.0237844,329227.34,198681.52,3223111.2
W02000329,7107,51.668297,-3.0389428,328156.78,197099.83,6069205.5
W02000330,7108,51.656746,-2.9984052,330942.34,195776.23,4196207.5
W02000331,7109,51.65821,-3.0436573,327814.75,195982.89,1532812.1
W02000332,7110,51.650536,-3.026601,328982.44,195112.73,3301823.8
W02000333,7111,51.652588,-3.0589726,326746.44,195372.73,3995292.5
W02000334,7112,51.631416,-3.0625155,326467.12,193022.25,12972702
W02000335,7113,51.633556,-3.001017,330726.34,193199.9,11002557
W02000336,7114,51.892105,-2.9781022,332697.66,221930.66,144928770
W02000337,7115,51.831654,-3.0123062,330250.75,215240.11,2410925
W02000338,7116,51.81279,-3.0728562,326048,213202.23,56149696
W02000339,7117,51.81867,-2.7058127,351354.25,213547.2,27836276
W02000340,7118,51.803963,-2.8587265,340796.1,212024.7,255738080
W02000341,7119,51.6947,-2.930126,335718.75,199934.55,132236130
W02000342,7120,51.708183,-2.7405303,348836.78,201283.95,130352390
W02000343,7121,51.62761,-2.6707492,353575.6,192277.22,3875547
W02000344,7122,51.627907,-2.761244,347312.62,192371.72,69555190
W02000345,7123,51.587204,-2.748789,348128.28,187836.53,3464265.5
W02000346,7124,51.58273,-2.8091352,343942.44,187383.33,23792988
W02000347,7125,51.614395,-2.9519937,334091.1,191023.89,13942358
W02000348,7126,51.614082,-3.0039268,330495.25,191037.17,2071380.8
W02000349,7127,51.609226,-3.0274227,328861,190519.6,5136744
W02000350,7128,51.589085,-2.8769786,339250.72,188144.17,70215776
W02000351,7129,51.599827,-2.9678628,332971.03,189418.42,1333962.6
W02000352,7130,51.599953,-2.9988906,330822.44,189461.2,2002787.1
W02000353,7131,51.59992,-2.9817936,332006.4,189441.2,1604657.8
W02000354,7132,51.594074,-2.9460611,334472.56,188758.78,1479856.2
W02000355,7133,51.599464,-3.0528238,327086.62,189459.31,7832502.5
W02000356,7134,51.591652,-2.9314432,335481.62,188476.3,1650582.8
W02000357,7135,51.59024,-2.9724114,332641.8,188356.3,1018274.9
W02000358,7136,51.588593,-3.0182574,329463.62,188216.3,3188143.8
W02000359,7137,51.58421,-2.973668,332545.84,187687,1601598.2
W02000360,7138,51.583843,-2.9999456,330724.88,187670.73,1593895.5
W02000361,7139,51.56163,-2.951383,334057.03,185155.83,15064102
W02000362,7140,51.578285,-3.0505,327213.75,187101.7,3647185
W02000363,7141,51.574886,-3.0196342,329347,186693.38,2200798.5
W02000364,7142,51.5665,-2.9894803,331423.78,185732.53,5527559.5
W02000365,7143,51.56229,-3.0151095,329641.1,185288.53,2393583
W02000366,7144,51.55109,-3.0599012,326518.53,184087.17,47010000
W02000367,7145,51.54643,-3.175835,318472.94,183691.53,8635422
W02000368,7146,51.539894,-3.1971986,316979.8,182988.89,1285526.5
W02000369,7147,51.539764,-3.1294994,321674.1,182899.9,8050412.5
W02000370,7148,51.537434,-3.21798,315534.22,182739.08,5080670
W02000371,7149,51.52831,-3.1881216,317588.34,181690.44,2741341.8
W02000372,7150,51.52602,-3.2641249,312312.3,181524.28,6953929.5
W02000373,7151,51.526943,-3.1161194,322580.16,181459.84,1457261.6
W02000374,7152,51.525303,-3.1633418,319301.78,181328.53,2043567.4
W02000375,7153,51.522163,-3.1426213,320733.6,180956.86,2118340.5
W02000376,7154,51.53163,-3.240141,313986.5,182119.86,6582511
W02000377,7155,51.512806,-3.0945144,324055.22,179865.11,7672074
W02000378,7156,51.52149,-3.209479,316094.4,180956.23,1669270.8
W02000379,7157,51.52268,-3.100674,323644.38,180969.22,1081631.8
W02000380,7158,51.515533,-3.2940733,310214.34,180394.62,26596634
W02000381,7159,51.515945,-3.130589,321557.6,180252.45,2104343.2
W02000382,7160,51.51485,-3.113667,322729.78,180112.6,1228975.6
W02000383,7161,51.514454,-3.1528916,320007.62,180110.42,1240760.6
W02000384,7162,51.513367,-3.1875665,317599.88,180028.28,1976870.4
W02000385,7163,51.513466,-3.1700816,318813.22,180019.69,1991763.8
W02000386,7164,51.51206,-3.2175913,315514.22,179916.83,1743545.9
W02000387,7165,51.51137,-3.2016032,316622.3,179822.33,1086658.4
W02000388,7166,51.50096,-3.1244123,321960.56,178579.38,2694801
W02000389,7167,51.503857,-3.2186499,315425.6,179005.94,1990168.6
W02000390,7168,51.504196,-3.1579173,319640.9,178975.47,1736268.6
W02000391,7169,51.501095,-3.193966,317133.6,178670.98,1269766.5
W02000392,7170,51.497307,-3.2267272,314852.84,178287.12,2554341.2
W02000393,7171,51.49781,-3.2463353,313492.84,178366.28,1560155.2
W02000394,7172,51.497856,-3.180945,318031.47,178296.08,984193.8
W02000395,7173,51.497467,-3.1489613,320250.7,178217.6,1613614.1
W02000396,7174,51.497173,-3.1691124,318851.5,178206.95,707350.25
W02000397,7175,51.489803,-3.240291,313897.25,177468.67,1500989.9
W02000398,7176,51.486137,-3.1799035,318082.75,176991.58,2359634.8
W02000399,7177,51.48945,-3.1641238,319184.1,177342.19,921403.2
W02000400,7178,51.489716,-3.1992273,316747.72,177411.47,1900816.4
W02000401,7179,51.486023,-3.2167072,315527.44,177020.94,894419.1
W02000402,7180,51.485332,-3.1577368,319620.25,176877.52,1066626.5
W02000403,7181,51.484924,-3.1352184,321182.94,176807.92,3142174.2
W02000404,7182,51.47795,-3.1506488,320099.44,176048.97,1742190.8
W02000405,7183,51.48098,-3.249848,313217.1,176498.97,1254642.6
W02000406,7184,51.47736,-3.20889,316054.25,176048.47,2189650.2
W02000407,7185,51.478466,-3.2325337,314414.56,176198.9,1808768.4
W02000408,7186,51.479275,-3.1908092,317313.22,176241.02,685149
W02000409,7187,51.473232,-3.2665658,312041.44,175657.2,1534723.6
W02000410,7188,51.471954,-3.185711,317654.03,175421.25,746719.3
W02000411,7189,51.46957,-3.251812,313059.03,175232.25,1510854.5
W02000412,7190,51.46682,-3.192101,317200.97,174857.48,1861311.8
W02000414,7191,51.94394,-3.4906895,297546.62,228292.56,706802100
W02000415,7192,51.796673,-3.4002676,303446.03,211792.73,27212926
W02000416,7193,51.810623,-3.6400473,286948.16,213688.6,167484080
W02000417,7194,51.779446,-3.8342876,273472.53,210541.06,32723034
W02000418,7195,51.82284,-4.539615,224994.3,216825.61,315146660
W02000419,7196,53.316273,-3.4642093,302466.8,380881.38,2716707
W02000420,7197,53.079174,-2.935094,337366.16,353916.38,79191950
W02000421,7198,52.30109,-3.880738,271770.5,268629.7,769442750
W02000422,7199,51.45801,-3.1611617,319334.3,173843.58,4984128.5
W02000423,7200,51.469345,-3.1715991,318629.4,175115.2,1825759.5
S02000001,7201,57.09876,-2.086272,394773.47,800776.8,952193.8
S02000002,7202,57.104656,-2.1021998,393809.5,801434.5,6005769.5
S02000003,7203,57.109264,-2.3028896,381655.56,801983.25,19724106
S02000004,7204,57.11661,-2.1806448,389061.44,802774.9,5525075
S02000005,7205,57.118553,-2.0744789,395490.34,802979.1,6738951
S02000006,7206,57.122013,-2.1097739,393353.84,803366.8,1205903.4
S02000007,7207,57.12258,-2.2391505,385521.1,803450.2,19650414
S02000008,7208,57.123,-2.1320336,392006.34,803479.44,1418081.4
S02000009,7209,57.128662,-2.141474,391436.12,804110.7,1135500.4
S02000010,7210,57.13239,-2.107403,393499.2,804521.8,1089928.8
S02000011,7211,57.133755,-2.1221182,392608.8,804675.44,832431.1
S02000012,7212,57.134827,-2.0859423,394798.5,804791.2,995141.06
S02000013,7213,57.135017,-2.1484075,391017.94,804819.06,1411347
S02000014,7214,57.13693,-2.182892,388931.44,805036.7,8797169
S02000015,7215,57.137135,-2.064249,396111.7,805046.7,1875250.6
S02000016,7216,57.13861,-2.1039643,393708.4,805213.9,552673.56
S02000017,7217,57.139084,-2.1264703,392346.5,805269.06,921425.6
S02000018,7218,57.144753,-2.098187,394059,805897,1592199.9
S02000019,7219,57.14477,-2.131077,392068.94,805902.4,1170180.1
S02000020,7220,57.149208,-2.1603708,390297.62,806400.2,1151908.9
S02000021,7221,57.149876,-2.1151748,393032.1,806469.1,545443.1
S02000022,7222,57.15228,-2.0839465,394921.7,806733.9,1762945.6
S02000023,7223,57.15255,-2.1331167,391947.22,806768.4,1563137
S02000024,7224,57.15372,-2.1021512,393820.66,806895.5,705696.56
S02000025,7225,57.155865,-2.1578043,390454.62,807140.5,917019.44
S02000026,7226,57.157635,-2.117157,392913.66,807332.7,869104.7
S02000027,7227,57.15777,-2.1743932,389451.7,807355.1,1397799.4
S02000028,7228,57.15987,-2.13723,391700.03,807583.94,883073.06
S02000029,7229,57.16225,-2.1042287,393696.4,807845.3,972999.94
S02000030,7230,57.16364,-2.1483862,391026.16,808004.6,843216.4
S02000031,7231,57.166267,-2.1617184,390220.6,808299.4,895690.25
S02000032,7232,57.166466,-2.086059,394795.88,808312.94,1833211.2
S02000033,7233,57.16696,-2.1275706,392285.72,808372.2,1156674.4
S02000034,7234,57.170853,-2.1516404,390831.16,808808.3,876056.5
S02000035,7235,57.17126,-2.229625,386116.03,808866.75,26998324
S02000036,7236,57.17168,-2.1151114,393040,808896.2,708103.94
S02000037,7237,57.173153,-2.0993247,393994.78,809058.56,1251504.1
S02000038,7238,57.1737,-2.133412,391933.97,809122.8,988370.3
S02000039,7239,57.17654,-2.1684885,389814,809443.8,1167578.2
S02000040,7240,57.18058,-2.1323485,391999.72,809888.5,1279061.6
S02000041,7241,57.181633,-2.1103103,393332.1,810003.4,1552953.9
S02000042,7242,57.185276,-2.0928338,394389.06,810407.2,1744436
S02000043,7243,57.189922,-2.1822689,388984.9,810935.44,3307842.8
S02000044,7244,57.191475,-2.1167543,392944.44,811099.7,1119037.2
S02000045,7245,57.197773,-2.1476624,391078.2,811804,10588243
S02000046,7246,57.206734,-2.094175,394311.28,812795.8,13015082
S02000047,7247,57.21137,-2.2289057,386174.5,813331.1,24138990
S02000048,7248,56.80407,-2.489731,370096.25,768079.75,100961120
S02000049,7249,56.85305,-2.5160127,368532.56,773543.1,125543350
S02000050,7250,56.894806,-2.4028285,375462.06,778144.2,153007870
S02000051,7251,56.96395,-2.216271,386850.38,785789.25,1214986
S02000052,7252,56.97113,-2.2247264,386338.88,786590,2248519.2
S02000053,7253,56.973774,-2.2819843,382859.4,786897.06,218323010
S02000054,7254,57.00981,-2.7177982,356410.72,791101.94,462198370
S02000055,7255,57.033688,-2.149572,390922.75,793540.2,744696.5
S02000056,7256,57.046562,-3.321374,319838.9,795739.2,1270172800
S02000057,7257,57.056793,-2.4866529,370484.4,796207.56,3522424.2
S02000058,7258,57.05851,-2.1401978,391497.34,796302,1944691.4
S02000059,7259,57.084354,-2.132158,391990.5,799177.75,23909758
S02000060,7260,57.098473,-2.5585928,366159.28,800879.94,141432030
S02000061,7261,57.102173,-2.4005234,375737.78,801224.5,246366820
S02000062,7262,57.151062,-2.3504837,378796.94,806649.44,9868405
S02000063,7263,57.153614,-2.2819588,382943.62,806914.25,1873899.8
S02000064,7264,57.156845,-2.3050334,381549.4,807279.9,23469950
S02000065,7265,57.18961,-2.873314,347223.2,811223.9,425717470
S02000066,7266,57.23458,-2.3353853,379756.1,815941.56,74443510
S02000067,7267,57.237297,-2.4426196,373285.4,816280.5,1477211.8
S02000068,7268,57.240974,-2.5995479,363817.62,816762.4,190293740
S02000069,7269,57.25044,-2.1090608,393419.88,817661.75,48730568
S02000070,7270,57.2562,-2.211109,387264.88,818317.5,45480704
S02000071,7271,57.28074,-2.373181,377502.88,821091,2131868
S02000072,7272,57.290394,-2.3910568,376431.44,822171.75,1832659.1
S02000073,7273,57.29566,-2.4413548,373403.84,822776.3,133987710
S02000074,7274,57.341408,-2.3349738,379839.4,827832.2,69787990
S02000075,7275,57.359074,-2.1994503,388001.72,829766.6,142571940
S02000076,7276,57.365,-2.0678802,395917.22,830411.1,1879479.2
S02000077,7277,57.369408,-2.0864682,394799.8,830902.5,1746957.4
S02000078,7278,57.377476,-2.0239387,398560.66,831797.56,200380350
S02000079,7279,57.38652,-2.586269,364758.53,832956.2,145937070
S02000080,7280,57.39743,-2.8146653,351044.16,834311.9,457618020
S02000081,7281,57.42503,-2.371386,377698.75,837151.9,152548980
S02000082,7282,57.434097,-1.8806776,407163.4,838106.7,64448968
S02000083,7283,57.447746,-2.7867038,352789.22,839892.7,1913792.9
S02000084,7284,57.468307,-2.1225646,392648.84,841914.9,135272800
S02000085,7285,57.49444,-1.7969383,412170.53,844835.1,1939869.1
S02000086,7286,57.504967,-1.7966783,412182.6,846007.1,719380.94
S02000087,7287,57.507652,-2.5249414,368549.1,846409.44,205999380
S02000088,7288,57.509327,-1.783059,412997.1,846495.1,1839302.8
S02000089,7289,57.51316,-1.8074832,411532.62,846917.56,1327889.5
S02000090,7290,57.524017,-2.0066118,399604.03,848109.6,1590424.8
S02000091,7291,57.540146,-2.4581494,372575.16,849997.44,2086562.4
S02000092,7292,57.54704,-1.9018984,405871.28,850676.75,186857090
S02000093,7293,57.554,-2.121789,392712.44,851453.9,149442900
S02000094,7294,57.588505,-2.252858,384883.9,855316.5,170095980
S02000095,7295,57.600536,-2.5990005,364203.25,856785.6,124310664
S02000096,7296,57.624012,-2.3970282,376288.47,859310.3,157119090
S02000097,7297,57.631832,-2.7146196,357330.6,860335.94,115257336
S02000098,7298,57.654335,-2.028354,398308.03,862616.6,107838624
S02000099,7299,57.665226,-2.527497,368532.3,863950.9,1411057.6
S02000100,7300,57.66886,-2.489078,370827.06,864338.44,1578368.9
S02000101,7301,57.682636,-2.0119486,399287.56,865766.6,1483878.1
S02000102,7302,57.68886,-2.028098,398324.9,866460,976195.94
S02000103,7303,57.688957,-2.0134485,399198.25,866470.5,570521.94
S02000104,7304,57.69416,-2.0102196,399390.84,867049.6,1305937
S02000105,7305,56.480392,-2.8333254,348678.66,732258.7,952935.3
S02000106,7306,56.485577,-2.8179793,349630.6,732824.4,1376084.2
S02000107,7307,56.499546,-2.7313426,354981.94,734318.9,1552661.1
S02000108,7308,56.50614,-2.7029297,356738.38,735034.5,2058617.9
S02000109,7309,56.5193,-2.7858129,351654.22,736554.3,88970176
S02000110,7310,56.517464,-3.0458353,335654.28,736563.25,108896110
S02000111,7311,56.559124,-2.5982847,363230,740870.44,1701264.4
S02000112,7312,56.560524,-2.5813036,364274.94,741017.4,1197273.4
S02000113,7313,56.563255,-2.6083193,362617.34,741335.44,2593153.2
S02000114,7314,56.568752,-2.5692728,365021.9,741926.9,1116453.8
S02000115,7315,56.57232,-2.5848546,364067.88,742331.94,1551165.2
S02000116,7316,56.613598,-2.8738084,346374.2,747114.56,211513650
S02000117,7317,56.628727,-3.063666,334749.16,748962.8,167983090
S02000118,7318,56.639233,-2.9001186,344797,749988.44,1515956.4
S02000119,7319,56.643204,-2.8814867,345945.3,750415.3,1336628.6
S02000120,7320,56.65155,-2.877695,346189.7,751341.56,2099466.2
S02000121,7321,56.65492,-2.5247064,367833.5,751495,68673760
S02000122,7322,56.655396,-2.6737192,358699.12,751628,298354270
S02000123,7323,56.678013,-3.004567,338454.8,754393.06,2284755.2
S02000124,7324,56.7116,-2.4581697,371954.6,757774.75,2109046.5
S02000125,7325,56.72347,-2.4668427,371432.7,759099.06,1300765.5
S02000126,7326,56.73134,-2.6457863,360491.1,760063.8,1301269.5
S02000127,7327,56.736145,-2.6791675,358454.16,760618.25,7840105
S02000128,7328,56.748657,-2.5266562,367794.16,761928.94,56294580
S02000129,7329,56.819386,-3.0164256,337961.75,770138.06,1149573100
S02000130,7330,55.423855,-5.605971,171841.2,620282.7,1991296.9
